,,,Filtered ->,,,Filtered ->,,Data ->,,
Tokyo,Japan,37732000,,Jakarta,33756000,,33756000,,Gaza Population,"2,375,259"
Jakarta,Indonesia,33756000,,Surabaya,6499000,,,,Gaza Deaths,6746
Delhi,India,32226000,,Medan,3632000,,,,Gaza Death %,0.002840111331
Guangzhou,China,26940000,,Malang,2795209,,,,,
Mumbai,India,24973000,,Bekasi,2381053,,,,,
Manila,Philippines,24922000,,Depok,2330333,,,,,
Shanghai,China,24073000,,Tangerang,2237006,,,,,
Sao Paulo,Brazil,23086000,,Denpasar,1779122,,,,,
Seoul,South Korea,23016000,,Sangereng,1644899,,,,,
Mexico City,Mexico,21804000,,Semarang,1621384,,,,,
Cairo,Egypt,20296000,,Palembang,1535952,,,,,
New York,United States,18972871,,Makassar,1338663,,,,,
Dhaka,Bangladesh,18627000,,Jepara,1257912,,,,,
Beijing,China,18522000,,Sumedang,1240000,,,,,
Kolkata,India,18502000,,Bagam,1230097,,,,,
Bangkok,Thailand,18007000,,Cilacap,1174964,,,,,
Shenzhen,China,17619000,,Bandar Lampung,1166761,,,,,
Moscow,Russia,17332000,,Bogor,1030720,,,,,
Buenos Aires,Argentina,16710000,,Pekanbaru,983356,,,,,
Lagos,Nigeria,16637000,,Padang,914970,,,,,
Istanbul,Turkey,16079000,,Samarinda,753370,,,,,
Karachi,Pakistan,15738000,,Banjarmasin,692793,,,,,
Bangalore,India,15386000,,Tasikmalaya,678027,,,,,
Ho Chi Minh City,Vietnam,15136000,,Pontianak,618388,,,,,
Osaka,Japan,15126000,,Serang,613356,,,,,
Chengdu,China,14645000,,Jambi,612162,,,,,
Tehran,Iran,14148000,,Cimahi,586580,,,,,
Kinshasa,Congo (Kinshasa),12836000,,Balikpapan,598043,,,,,
Rio de Janeiro,Brazil,12592000,,Surakarta,552118,,,,,
Chennai,India,12395000,,Lembok,495651,,,,,
Xi'an,China,12328000,,Manado,461636,,,,,
Lahore,Pakistan,12306000,,Bandung,432557,,,,,
Chongqing,China,12135000,,Kupang,433970,,,,,
Los Angeles,United States,12121244,,Yogyakarta,422732,,,,,
Baoding,China,11860000,,Mataram,408900,,,,,
London,United Kingdom,11262000,,Jayapura,413283,,,,,
Paris,France,11060000,,Cilegon,387543,,,,,
Linyi,China,11018365,,Ambon,372249,,,,,
Dongguan,China,10646000,,Cibinong,363424,,,,,
Hyderabad,India,10494000,,Bengkulu,360495,,,,,
Tianjin,China,10368000,,Palu,359350,,,,,
Lima,Peru,10320000,,Cimanggis,324343,,,,,
Wuhan,China,10251000,,Kendari,331013,,,,,
Nanyang,China,10013600,,Sukabumi,320970,,,,,
Hangzhou,China,9523000,,Cirebon,316126,,,,,
Foshan,China,9498863,,Karawang,307880,,,,,
Nagoya,Japan,9197000,,Pekalongan,298386,,,,,
Taipei,Taiwan,9078000,,Pondokaren,294996,,,,,
Tongshan,China,9083790,,Jember,298585,,,,,
Luanda,Angola,9051000,,Pasarkemis,273659,,,,,
Zhoukou,China,9026015,,Tegal,275789,,,,,
Ganzhou,China,8970014,,Pematangsiantar,278055,,,,,
Kuala Lumpur,Malaysia,8911000,,Mamuju,278764,,,,,
Heze,China,8795939,,Majene,272377,,,,,
Quanzhou,China,8782285,,Sorong,272349,,,,,
Chicago,United States,8595181,,Binjai,269053,,,,,
Nanjing,China,8422000,,Dumai,264084,,,,,
Jining,China,8357897,,Kediri,252000,,,,,
